,Unnamed: 0,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
0,0,36.0,4.2,Fog,Jam,2,Snack,motorcycle,3.0,No,Metropolitian,46,20002.52025705942
1,1,21.0,4.7,Stormy,High,1,Meal,motorcycle,1.0,No,Metropolitian,23,20002.52025705942
2,2,23.0,4.7,Sandstorms,Medium,1,Drinks,scooter,1.0,No,Metropolitian,21,20002.52025705942
3,3,34.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,20,20002.520257046745
4,4,24.0,4.7,Fog,Jam,1,Snack,scooter,1.0,No,Metropolitian,41,20002.520257046745
5,5,29.0,4.5,Sandstorms,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,20,20002.520257046745
6,6,35.0,4.0,Windy,High,1,Meal,scooter,1.0,No,Metropolitian,33,20002.520257046745
7,7,33.0,4.2,Sandstorms,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,40,20002.520257042732
8,8,34.0,4.9,Cloudy,Jam,0,Snack,motorcycle,,No,Metropolitian,41,20002.520257042732
9,9,21.0,4.7,Windy,Jam,0,Meal,motorcycle,1.0,No,Urban,15,20002.520257042732
10,10,25.0,4.1,Sandstorms,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,36,20002.52025703843
11,11,31.0,4.7,Sandstorms,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,26,20002.52025703843
12,12,37.0,5.0,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Metropolitian,20,20002.52025703843
13,13,33.0,4.3,Windy,Jam,2,Meal,scooter,1.0,No,Metropolitian,39,20002.52025703843
14,14,25.0,4.0,Cloudy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,34,20002.520257037824
15,15,29.0,4.5,Sunny,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,15,20002.520257037824
16,16,27.0,5.0,Stormy,Jam,0,Snack,motorcycle,0.0,No,Urban,18,20002.520257037824
17,17,35.0,4.3,Cloudy,Low,1,Drinks,scooter,0.0,No,Metropolitian,38,20002.520257037824
18,18,32.0,4.0,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,47,20002.520257032207
19,19,23.0,4.8,Windy,Low,2,Buffet,electric_scooter,0.0,No,Urban,12,20002.520257032207
20,20,31.0,4.8,Sandstorms,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,26,20002.520257032207
21,21,36.0,4.1,Stormy,Low,0,Drinks,motorcycle,1.0,No,Urban,22,20002.52025703129
22,22,26.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Urban,21,20002.52025703129
23,23,38.0,4.9,Cloudy,High,1,Drinks,scooter,1.0,No,Urban,25,20002.52025703129
24,24,32.0,3.5,Stormy,Jam,1,Snack,scooter,0.0,No,Urban,35,20002.520257028576
25,25,32.0,4.6,Cloudy,Low,2,Drinks,scooter,1.0,No,Metropolitian,30,20002.520257028576
